"id","FIO","link","PART1","№ OVO","LIST №","AGE","GROUP_AGE","EDUCATION","CRIMINAL","PART2","PART2_corr","POSITION","INCOME_TOTAL","INCOME_FAMILY","INCOME_FAVORITE","LAND_QTY","LAND_SQ","APPARTMENTS_QTY","APPARTMENTS_SQ","APPARTMENTS_QTY_FAMILY","APPARTMENTS_SQ_FAMILY","LAND_QTY_FAMILY","LAND_SQ_FAMILY","AVTO_QTY","AVTO_MARK","AVTO_MODEL","AVTO_YEAR","AVTO_QTY_FAMILY","AVTO_MARK_FAMILY","AVTO_MODEL_FAMILY","AVTO_YEAR_FAMILY","DECLARATION_DONE","GENDER","OTHER_ACTIVES","OTHER_ACTIVES_FAMILY"
750,"Білоусов Віктор Федорович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=750","Комуністична партія України",194,,60,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","директор",183573,14760,6,0,0,1,68,2,89,0,0,0,,,2012,0,,,0,9/7/2012 14:31,"Ч",0,0
503,"Білошицький Кирило Леонідович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=503","Комуністична партія України",4,,35,"35-44","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","помічник-консультант народного депутата України",18927,5666,6,0,0,0,0,1,44,0,0,1,"Geely",,2010,1,"ЗАЗ",110307,2005,9/6/2012 14:29,"Ч",0,0
317,"Білявська Тамара Митрофанівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=317","Комуністична партія України",,72,66,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","пенсіонерка",43476,16617,6,1,464,1,22,1,22,1,464,1,"ЗАЗ",110308,2010,0,,,0,9/5/2012 22:14,"Ж",0,0
1212,"Близнюк Анатолій Михайлович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1212","Партія регіонів",,15,64,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","Міністр регіонального розвитку",877083,1758404,6,0,0,2,154,3,557,1,9827,2,"Volkswagen",,2011,2,"Lexus",,2010,9/11/2012 17:03,"Ч",1366417,0
1834,"Бобков Олександр Михайлович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1834","Партія регіонів",41,,52,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","директор",86999,9762,6,1,1000,0,0,1,52,0,0,0,,,2012,1,"Toyota","RAV-4",2007,9/17/2012 14:09,"Ч",892959,6
1881,"Бобов Геннадій Борисович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1881","Партія регіонів",196,,47,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","генеральний директор",8130000,91015644,6,0,0,0,0,2,485,2,138581,1,"Mercedes","S",2010,1,"Land Rover",,2007,9/17/2012 16:06,"Ч",6249995,0
1440,"Бовбалан Сергій Іванович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1440","Самовисування",136,,49,"45+","вища","відсутня","безпартійн","безпартійний","пенсіонер Міністерства внутрішніх справ України",24720,16878,5,0,0,0,0,0,0,0,0,1,"ВАЗ",21120,2003,1,"Nissan","Micra",1995,9/6/2012 12:37,"Ч",0,0
159,"Бовсуновський Олександр Михайлович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=159","Політична партія ""Народна ініціатива""",96,,42,"35-44","вища","відсутня","безпартійн","безпартійний","провідний спеціаліст",20022,12022,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/5/2012 12:53,"Ч",0,0
695,"Богатиренко Сергій Васильович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=695","Комуністична партія України",224,,34,"25-34","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","приватний підприємець",45281,2390,6,0,0,1,18,1,50,1,500,0,,,2012,0,,,0,9/7/2012 13:00,"Ч",0,0
905,"Богатирьов Іван Григорович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=905","Самовисування",208,,58,"45+","вища","відсутня","безпартійн","безпартійний","головний науковий співробітник",16687274,8901618,6,1,8,1,117,3,195,2,2000,1,,"кайрон",2009,0,,,0,9/10/2012 14:09,"Ч",4930490,0
1319,"Богачов Сергій Валентинович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1319","Партія регіонів",,123,55,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","начальник управління комунальних ресурсів",203437,326247,6,0,0,1,29,4,519,1,1000,1,"Volkswagen","Passat",2006,1,"Toyota","RAV-4",2007,9/12/2012 16:22,"Ч",55541,104102
1598,"Богдан Руслан Дмитрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1598","політична партія Всеукраїнське об’єднання ""Батьківщина""",,73,40,"35-44","вища","відсутня","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","народний депутат України",212895,454853,6,0,0,2,187,1,654,1,3800,2,"Mercedes","Benz",2008,4,"Toyota","Camry",2011,9/14/2012 13:51,"Ч",0,0
1460,"Богославець Тетяна Володимирівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1460","політична партія Всеукраїнське об’єднання ""Батьківщина""",,196,47,"45+","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","бібліотекар методичного кабінету",21806,116642,5,1,1000,0,0,1,106,1,56000,1,"ВАЗ",21099,2006,0,,,0,9/6/2012 15:02,"Ж",0,0
1257,"Богословська Інна Германівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1257","Партія регіонів",,60,52,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","народний депутат України",225861,0,6,0,0,0,0,0,0,0,0,1,"Mercedes","Benz",2007,0,,,0,9/12/2012 11:09,"Ж",16112,0
1697,"Богуслаєв Вячеслав Олександрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1697","Партія регіонів",77,,74,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","народний депутат України",3428183,0,6,1,1500,1,475,0,0,0,0,1,"Nissan","Qashqai",2008,0,,,0,9/14/2012 17:31,"Ч",6584908,175665
1641,"Боднар Ольга Борисівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1641","політична партія Всеукраїнське об’єднання ""Батьківщина""",,116,47,"45+","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","народний депутат України",254697,9202,6,1,1200,3,180,1,46,0,0,1,"Nissan","Pathfinder",2010,0,,,0,9/13/2012 17:04,"Ж",0,0
972,"Боднар Тарас Григорович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=972","Самовисування",83,,32,"25-34","вища","відсутня","безпартійн","безпартійний","лікар",13566,6117,6,0,0,0,0,0,0,0,0,0,,,,0,,,0,9/7/2012 12:27,"Ч",0,0
1070,"Бойко Василь Васильович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1070","Партія ""Віче""",90,,33,"25-34","вища","відсутня","безпартійн","безпартійний","приватний підприємець",10000,2000,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/10/2012 16:24,"Ч",0,0
576,"Бойко Віталій Ілліч","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=576","Комуністична партія України",144,,55,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","старший електромеханік",171405,199014,6,0,0,0,0,1,43,0,0,0,,,2012,1,"Skoda","Фабиа",2002,9/6/2012 16:02,"Ч",0,0
1204,"Бойко Володимир Семенович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1204","Партія регіонів",,7,74,"45+","вища","відсутня","безпартійн","безпартійний","генеральний директор",19204411,15600,6,2,2640,1,86,0,0,0,0,0,,,2012,0,,,0,9/11/2012 16:16,"Ч",3218997,4500000
